affil_name,status,valid_ids,affil_names_valid,invalid_ids,affil_names_invalid,eid,author,affil_city
"College of Electrical Engineering, Zhejiang University",In HAL (Valid),"493651, 8138",College of Electrical Engineering [Zhejiang] | Zhejiang University,,,2-s2.0-85103246865,Yi Ding,Hangzhou
"Sichuan University, College of Electrical Engineering",In HAL (Valid),440644,Sichuan University [Chengdu] [SCU],,,2-s2.0-85139388609,Jianyu Wang,Chengdu
"CentraleSupélec, Université Paris Saclay, Laboratoire Genie Industriel",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85139388609,Jianyu Wang,Gif-sur-Yvette
Orange Innovation,In HAL (Valid),1079675,Orange Innovation,,,2-s2.0-85129636032,Rui Li,Chatillon
"Universite Paris-Saclay, Laboratoire Genie Industriel CentraleSupelec",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85129636032,Rui Li,Gif-sur-Yvette
"Chair on Risk and Resilience of Complex Systems, Laboratoire Génie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85116573986,Anne Barros,
Électricité de France (EDF) R&D Palaiseau,Not in HAL,,,,,2-s2.0-85116573986,Carole Duval,
"SNCF, Direction Technologies Innovation et Projet Groupe, Innovation & Recherche, Département Physique du Système Ferroviaire, Equipe Sécurité Système",In HAL (Valid),"198197, 300503",SNCF | SNCF : Innovation & Recherche,,,2-s2.0-85116573986,Marc Sango,
"Laboratoire Genie Industriel, Chair on Risk and Resilience of Complex Systems, Université Paris Saclay, CentraleSupélec",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85095418876,Tasneem Bani-Mustafa,Gif-sur-Yvette
"Department of Industrial Economics, Risk Management and Planning, University of Stavanger",In HAL (Valid),"301146, 495159",Department of Industrial Economics and Technology Management [Stavanger] | University of Stavanger,,,2-s2.0-85095418876,Roger Flage,Stavanger
"MINESParisTech, PSL Research University, CRC",In HAL (Valid),"54155, 301492",Centre de recherche sur les Risques et les Crises [CRC] | Mines Paris - PSL (École nationale supérieure des mines de Paris),,,2-s2.0-85095418876,Enrico Zio,Sophia Antipolis
"Energy Department, Politecnico di Milano",In HAL (Valid),125443,Politecnico di Milano [Milan] [POLIMI],,,2-s2.0-85095418876,Enrico Zio,Milan
Electricité de France R&D,In HAL (Valid),"302313, 528389",EDF [EDF] | EDF R&D [EDF R&D],,,2-s2.0-85106872144,Youba Nait Belaid,Palaiseau
"School of Management, Shanghai University",In HAL (Valid),323305,Shanghai University,,,2-s2.0-85100170341,Qingqing Zhai,Shanghai
"School of Reliability and Systems Engineering, Beihang University",In HAL (Valid),"411674, 529602",Beihang University [BUAA] | School of Reliability and Systems Engineering [Beijing],,,2-s2.0-85100170341,Shijia Du,Beijing
"College of Energy and Electrical Engineering, Hohai University",In HAL (Valid),316556,Hohai University,,,2-s2.0-85094325012,Xingying Chen,Nanjing
"School of Reliability and Systems Engineering, Beihang University",In HAL (Valid),"411674, 529602",Beihang University [BUAA] | School of Reliability and Systems Engineering [Beijing],,,2-s2.0-85135497898,Jie Liu,
"Laboratoire Génie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85135437717,Andrea Bellè,
"Dept. of Infrastructure Innovation and Engineering, Orange Labs Networks",In HAL (Valid),573593,Orange Labs Networks,,,2-s2.0-85129653267,Khaled Sayad,Lannion
"Chaire Risk and Resilience of Complex Systems, Laboratoire Génie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85129653267,Khaled Sayad,Gif-sur-Yvette
Orange Innovation,In HAL (Valid),1079675,Orange Innovation,,,2-s2.0-85129600098,Bertrand Decocq,Châtillon
"Chair Risk and Resilience of Complex Systems, Laboratoire Génie Industriel (LGI), CentraleSupélec, Université Paris Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85086595566,Jinduo Xing,Gif-sur-Yvette
"MINES ParisTech, PSL Research University, CRC",In HAL (Valid),"54155, 301492",Centre de recherche sur les Risques et les Crises [CRC] | Mines Paris - PSL (École nationale supérieure des mines de Paris),,,2-s2.0-85086595566,Enrico Zio,Sophia Antipolis
"Eminent Scholar, Department of Nuclear Engineering, College of Engineering, Kyung Hee University",In HAL (Valid),305304,Kyung Hee University [KHU],,,2-s2.0-85086595566,Enrico Zio,
"Chair on Risk and Resilience of Complex Systems, Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85083873403,Tasneem Bani-Mustafa,
University of Stavanger,In HAL (Valid),301146,University of Stavanger,,,2-s2.0-85083873403,Roger Flage,
"EDF R&D, PERICLES",In HAL (Valid),"528447, 528389",EDF R&D [EDF R&D] | PERformance et prévention des Risques Industriels du parC par la simuLation et les EtudeS [EDF R&D PERICLES],,,2-s2.0-85083873403,Dominique Vasseur,
"Chair on System Science and the Energetic Challenge, EDF Foundation, Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85077745269,Tasneem Bani-Mustafa,Gif-sur-Yvette
